a,b,c,t,e,et
1.2,1800,7,6.5,66.577292964501,0.4858791773337998
1.2,1800,7,7.0,66.7622697731625,0.29400442677659555
1.2,1800,7,7.5,66.8712973912776,0.16754728737950586
1.2,1800,7,8.0,66.929817060542,0.07714231513530478
1.2,1800,7,8.5,66.9484397064129,0.029538806559699538
1.2,1800,7,9.0,66.9593558671017,0.010584334816897467
1.2,1800,7,9.5,66.9590240412298,0.0031645663268875523
1.2,1800,7,10.0,66.9625204334286,0.01082100246829043
1.2,2100,3,0.0,0.0,32.622888366709304
1.2,2100,3,0.5,13.1992863177265,20.1742569041967
1.2,2100,3,1.0,20.1742569041967,11.7705191614372
1.2,2100,3,1.5,24.9698054791637,8.8527433238309
1.2,2100,3,2.0,29.0270002280276,7.452963745426498
1.2,2100,3,2.5,32.4227692245902,6.203452827805403
1.2,2100,3,3.0,35.230453055833,5.096847696747105
1.2,2100,3,3.5,37.5196169213373,4.1253259805045985
1.2,2100,3,4.0,39.3557790363376,3.2814083426627008
1.2,2100,3,4.5,40.801025264,2.5569427918049
1.2,2100,3,5.0,41.9127218281425,1.9441604065042952
1.2,2100,3,5.5,42.7451856705043,1.4346329295046019
1.2,2100,3,6.0,43.3473547576471,1.0200583426015015
1.2,2100,3,6.5,43.7652440131058,0.6931817815038954
1.2,2100,3,7.0,44.040536539151,0.4397550796979033
1.2,2100,3,7.5,44.2049990928037,0.2559933258850009
1.2,2100,3,8.0,44.296529865036,0.12188730874939324
1.2,2100,3,8.5,44.3268864015531,0.05376623174590378
1.2,2100,3,9.0,44.3502960967819,0.02068983594570284
1.2,2100,3,9.5,44.3475762374988,0.0029092231374932
1.2,2100,3,10.0,44.3532053199194,0.01960710654489617
1.2,2100,4,0.0,0.0,39.2062087219697
1.2,2100,4,0.5,16.1554050796634,25.4154115966839
1.2,2100,4,1.0,25.4154115966839,15.8468424382712
1.2,2100,4,1.5,32.0022475179346,12.15596603226
1.2,2100,4,2.0,37.5713776289439,10.232439361843198
1.2,2100,4,2.5,42.2346868797778,8.525959913214898
1.2,2100,4,3.0,46.0973375421588,7.0232222249006995
1.2,2100,4,3.5,49.2579091046785,5.710544292664302
1.2,2100,4,4.0,51.8078818348231,4.574859652377405
1.2,2100,4,4.5,53.8327687570559,3.602655020898503
1.2,2100,4,5.0,55.4105368557216,2.780919188710797
1.2,2100,4,5.5,56.6136879457667,2.096484806051997
1.2,2100,4,6.0,57.5070216617736,1.5362498974348
1.2,2100,4,6.5,58.1499378432015,1.0876153523783003
1.2,2100,4,7.0,58.5946370141519,0.7372223892100038
1.2,2100,4,7.5,58.8871602324115,0.47121955134250015
1.2,2100,4,8.0,59.0658565654944,0.28844473500529944
1.2,2100,4,8.5,59.1756049674168,0.15653210330260237
1.2,2100,4,9.0,59.222388668797,0.056050408805198515
1.2,2100,4,9.5,59.231655376222,0.019913767318399778
1.2,2100,4,10.0,59.2423024361154,0.02267447225519703
1.2,2100,5,0.0,0.0,48.363277420713
1.2,2100,5,0.5,19.1834725429366,28.3706127510334
1.2,2100,5,1.0,28.3706127510334,15.4895574036793
